agegroup,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
0-4,36469.5,49029.3,46134.6,54144.5,65446.5,61312.1,48373.0,49992.3,63593.5,51155.3,37394.9,35123.7,36382.6,38537.5
5-9,26550.9,33864.5,45719.7,42879.8,52224.4,63910.8,60349.2,47857.4,49530.3,63096.8,50820.2,37211.3,35001.9,36286.0
10-14,25082.1,25729.1,32936.5,44433.2,42462.9,51794.1,63530.7,60076.6,47684.5,49384.7,62945.3,50700.5,37126.8,34931.3
15-19,24197.0,24503.1,25203.8,32207.9,44057.7,42204.0,51573.8,63306.9,59890.6,47523.9,49244.1,62728.8,50515.7,36975.0
20-24,21357.9,23568.7,23946.0,24525.5,31823.7,43714.6,41963.1,51325.5,63033.1,59601.0,47313.7,48940.5,62396.5,50234.9
25-29,19208.8,20639.2,22861.5,23168.8,24151.5,31495.7,43398.9,41708.6,51047.1,62674.9,59302.2,46985.0,48613.6,62061.8
30-34,18651.6,18420.5,19844.1,21967.3,22726.5,23854.4,31214.7,43082.4,41436.6,50712.0,62324.2,58925.1,46671.0,48320.2
35-39,16968.4,17800.4,17586.3,18922.8,21432.1,22388.7,23596.6,30934.0,42743.6,41121.5,50375.9,61905.8,58543.6,46379.2
40-44,15445.4,15943.1,16838.4,16625.7,18329.3,21013.6,22080.0,23320.6,30622.0,42337.0,40767.6,49947.9,61428.3,58138.1
45-49,13942.3,14252.0,14941.2,15787.7,15941.1,17849.1,20626.9,21724.4,22993.6,30206.9,41825.1,40298.6,49421.3,60866.4
50-54,11254.5,12799.8,13168.2,13810.4,14906.8,15347.4,17340.2,20112.4,21261.0,22516.1,29640.8,41118.0,39686.4,48753.0
55-59,10462.1,10132.3,11442.8,11766.1,12749.3,14045.8,14663.3,16662.1,19447.8,20572.5,21844.7,28850.6,40158.8,38816.9
60-64,8465.1,8688.3,8412.3,9542.8,10467.1,11591.0,13037.0,13723.9,15700.5,18373.6,19510.2,20844.4,27684.5,38601.8
65-69,6738.6,6224.2,6415.3,6280.6,7997.7,9001.4,10232.0,11685.9,12373.4,14230.6,16787.1,17975.2,19351.8,25732.6
70-74,4001.1,4444.0,4028.8,4205.7,4872.8,6341.2,7300.5,8516.8,9819.5,10469.1,12217.0,14570.6,15746.4,16991.9
75-79,2211.9,2145.9,2264.4,2195.5,2789.5,3331.1,4458.3,5287.3,6314.5,7438.6,8032.8,9563.1,11570.5,12593.7
80+,1050.5,1146.8,919.8,1139.7,1512.7,2019.0,2589.9,3550.1,4607.5,5866.4,7254.2,8501.8,10412.9,12851.4
