,美国,叙利亚反对派,阿萨德,伊朗,塞西,哈马斯,以色列,穆斯林兄弟会,基地组织,俄罗斯,黎巴嫩什叶派,土耳其,卡塔尔,沙特,黎巴嫩逊尼派
美国,,支持/9,反对/9,反对/9,未表态/9,反对/9,支持/9,未表态/9,反对/9,,,,,,
叙利亚反对派,支持/1,,,反对/1,,支持/1,支持/1,,支持/1,反对/1,反对/1,支持/1,支持/1,支持/1,支持/1
阿萨德,反对/1,,,支持/1,,,反对/1,反对/1,反对/1,支持/1,支持/1,反对/1,反对/1,,反对/1
伊朗,反对/1,反对/9,支持/9,,,支持/9,,,,,支持/9,,,,
塞西,未表态/1,,,,,反对/1,,反对/9,,,,反对/1,反对/1,支持/1,
哈马斯,反对/1,支持/9,,支持/1,反对/9,,反对/1,,,,,,支持/1,,
以色列,支持/1,支持/9,反对/9,,,反对/9,,,,,,,,,
穆斯林兄弟会,未表态/1,,反对/9,,反对/1,,,,,,,支持/1,支持/1,反对/1,
基地组织,反对/1,支持/9,反对/9,,,,,,,,,,,反对/9,
俄罗斯,,反对/9,支持/9,,,,,,,,,,,,
黎巴嫩什叶派,,反对/9,支持/9,支持/1,,,,,,,,,,,
土耳其,,支持/9,反对/9,,反对/9,,,支持/9,,,,,,,
卡塔尔,,支持/9,反对/9,,反对/9,支持/9,,支持/9,,,,,,,
沙特,,支持/9,,,支持/9,,,反对/9,反对/1,,,,,,支持/9
黎巴嫩逊尼派,,支持/9,反对/9,,,,,,,,,,,支持/1,
