"date","high","low","state","wind","index","mood","mood_code","month","monthf","weekday","weekdayf","week","monthweek","day"
2016-01-01,5,-4,"霾","东北风","3-4级","depressed","1f633",1,"Jan",5,"Fri",0,1,1
2016-01-02,6,-4,"霾~雾","东北风","3-4级","depressed","1f633",1,"Jan",6,"Sat",0,1,2
2016-01-03,3,-4,"霾~多云","西南风","3-4级","depressed","1f633",1,"Jan",0,"Sun",0,1,3
2016-01-04,2,-6,"多云~晴","西北风","3-4级","happy","1f604",1,"Jan",1,"Mon",1,2,4
2016-01-05,1,-7,"晴","西南风","3-4级","happy","1f604",1,"Jan",2,"Tue",1,2,5
2016-01-06,3,-6,"晴","西北风","3-4级","happy","1f604",1,"Jan",3,"Wed",1,2,6
2016-01-07,2,-7,"晴","西北风","3-4级","happy","1f604",1,"Jan",4,"Thu",1,2,7
2016-01-08,2,-8,"晴","西南风","3-4级","happy","1f604",1,"Jan",5,"Fri",1,2,8
2016-01-09,3,-6,"晴~多云","西北风","3-4级","depressed","1f633",1,"Jan",6,"Sat",1,2,9
2016-01-10,1,-8,"多云~晴","东北风","3-4级","happy","1f604",1,"Jan",0,"Sun",1,2,10
2016-01-11,-1,-9,"晴","东北风","3-4级","happy","1f604",1,"Jan",1,"Mon",2,3,11
2016-01-12,0,-8,"晴","西北风","3-4级","happy","1f604",1,"Jan",2,"Tue",2,3,12
2016-01-13,2,-7,"晴~多云","西南风","3-4级","depressed","1f633",1,"Jan",3,"Wed",2,3,13
2016-01-14,3,-7,"晴","南风","3-4级","happy","1f604",1,"Jan",4,"Thu",2,3,14
2016-01-15,4,-5,"多云~阴","东南风","3-4级","depressed","1f633",1,"Jan",5,"Fri",2,3,15
2016-01-16,-1,-5,"阴~小雪","东南风","3-4级","depressed","1f633",1,"Jan",6,"Sat",2,3,16
2016-01-17,-2,-10,"晴","西北风","3-4级","happy","1f604",1,"Jan",0,"Sun",2,3,17
2016-01-18,-4,-12,"晴","东北风","3-4级","happy","1f604",1,"Jan",1,"Mon",3,4,18
2016-01-19,-2,-9,"晴","东南风","3-4级","happy","1f604",1,"Jan",2,"Tue",3,4,19
2016-01-20,-2,-7,"多云~霾","东北风","3-4级","depressed","1f633",1,"Jan",3,"Wed",3,4,20
2016-01-21,-2,-9,"小雪~阴","东南风","3-4级","depressed","1f633",1,"Jan",4,"Thu",3,4,21
2016-01-22,-7,-16,"多云~晴","西北风","3-4级","happy","1f604",1,"Jan",5,"Fri",3,4,22
2016-01-23,-11,-14,"晴","西北风","3-4级","happy","1f604",1,"Jan",6,"Sat",3,4,23
2016-01-24,-3,-11,"晴","东南风","3-4级","happy","1f604",1,"Jan",0,"Sun",3,4,24
2016-01-25,3,-8,"晴","东北风","3-4级","happy","1f604",1,"Jan",1,"Mon",4,5,25
2016-01-26,2,-9,"晴","东南风","3-4级","happy","1f604",1,"Jan",2,"Tue",4,5,26
2016-01-27,3,-7,"晴~多云","东北风","3-4级","depressed","1f633",1,"Jan",3,"Wed",4,5,27
