"thewords","Freq"
"金刚狼",397
"英雄",178
"教授",135
"超级",96
"23",84
"变种",82
"能力",79
"世界",56
"系列",53
"希望",45
"漫画",44
"劳拉",43
"非常",38
"美国",36
"所有",36
"成为",35
"时间",35
"生活",33
"删减",32
"对于",31
"未来",31
"需要",31
"一次",29
"大家",28
"孩子",28
"很多",28
"一直",28
"曾经",27
"感觉",27
"不再",26
"甚至",26
"保护",24
"拥有",24
"中国",24
"作为",24
"女儿",23
"无法",23
"现在",23
"战斗",23
"出来",22
"反派",22
"年轻",21
"时代",21
"一下",21
"不能",20
"豆瓣",19
"而且",19
"接受",19
"片中",19
"评分",19
"如此",19
"事情",19
"一起",19
"应该",19
"毕竟",18
"粉丝",18
"合金",18
"基因",18
"镜头",18
"如何",18
"特别",18
"为什么",18
"一场",18
"以及",18
"预告",18
"真实",18
"真正",18
"整个",18
"蝙蝠",17
"部分",17
"成功",17
"而是",17
"黑暗",17
"或者",17
"来说",17
"朋友",17
"同时",17
"问题",17
"变成",16
"发现",16
"愤怒",16
"公司",16
"还有",16
"经历",16
"控制",16
"骷髅",16
"期待",16
"杀死",16
"身体",16
"失去",16
"特效",16
"一切",16
"宇宙",16
"最终",16
"别人",15
"不同",15
"当年",15
"告别",15
"后来",15
"即使",15
"几乎",15
"继续",15
"卡利",15
"情怀",15
"生命",15
"武器",15
"喜欢",15
"选择",15
"一点",15
"永远",15
"直接",15
"帮助",14
"队长",14
"发生",14
"父亲",14
"告诉",14
"克隆",14
"来自",14
"那些",14
"逆转",14
"其他",14
"杀人",14
"身边",14
"实验",14
"同样",14
"完全",14
"下去",14
"项目",14
"至少",14
"打斗",13
"几个",13
"老人",13
"名字",13
"能够",13
"其中",13
"起来",13
"强大",13
"情感",13
"然后",13
"人类",13
"任何",13
"殊死",13
"死亡",13
"天启",13
"痛苦",13
"一段",13
"由于",13
"原野",13
"找到",13
"拯救",13
"蜘蛛",13
"版本",12
"表演",12
"残疾人",12
"动作",12
"而言",12
"感受",12
"孤独",12
"经典",12
"来到",12
"两个",12
"内心",12
"你们",12
"普通人",12
"骑士",12
"上映",12
"身上",12
"实在",12
"使用",12
"死去",12
"逃亡",12
"牺牲",12
"一刻",12
"一路",12
