thewords,thewords,Freq
金刚狼,wolverine,397
英雄,hero,178
教授,professor,135
超级,super,96
23,23,84
变种,variant,82
能力,Ability to,79
世界,The world,56
系列,A series of,53
希望,hope,45
漫画,comic,44
劳拉,Laura,43
非常,very,38
美国,The United States,36
所有,all,36
成为,Become a,35
时间,time,35
生活,life,33
删减,cut,32
对于,for,31
未来,In the future,31
需要,Need to be,31
一次,At a time,29
大家,everyone,28
孩子,The child,28
很多,A lot of,28
一直,Has been,28
曾经,once,27
感觉,feeling,27
不再,No longer,26
甚至,even,26
保护,To protect the,24
拥有,have,24
中国,China,24
作为,As a,24
女儿,daughter,23
无法,Can't,23
现在,now,23
战斗,fighting,23
出来,Come out,22
反派,villain,22
年轻,young,21
时代,era,21
一下,the,21
不能,Can't,20
豆瓣,douban,19
而且,and,19
接受,accept,19
片中,The film,19
评分,score,19
如此,so,19
事情,things,19
一起,together,19
应该,Should be,19
毕竟,"After all,",18
粉丝,fans,18
合金,alloy,18
基因,gene,18
镜头,The lens,18
如何,How to,18
特别,special,18
为什么,why,18
一场,a,18
以及,As well as,18
预告,trailer,18
真实,real,18
真正,real,18
整个,The whole,18
蝙蝠,The bat,17
部分,Part of the,17
成功,successful,17
而是,but,17
黑暗,The dark,17
或者,or,17
来说,for,17
朋友,A friend,17
同时,At the same time,17
问题,The problem,17
变成,become,16
发现,found,16
愤怒,anger,16
公司,The company,16
还有,There are,16
经历,experience,16
控制,control,16
骷髅,The skeleton,16
期待,Looking forward to,16
杀死,kill,16
身体,The body,16
失去,lose,16
特效,The special effects,16
一切,all,16
宇宙,The universe,16
最终,In the end,16
别人,others,15
不同,different,15
当年,That year,15
告别,Say goodbye to,15
后来,"Later,",15
即使,Even if the,15
几乎,almost,15
继续,Continue to,15
卡利,Cali,15
情怀,feelings,15
生命,life,15
武器,weapons,15
喜欢,like,15
选择,choose,15
一点,A little bit,15
永远,forever,15
直接,directly,15
帮助,help,14
队长,The captain,14
发生,happen,14
父亲,father,14
告诉,tell,14
克隆,cloning,14
来自,from,14
