homepage,internship,companyweb,company,address,salary,period,duration,work,salary_low,salary_high,address_unique
http://www.shixiseng.com/intern/inn_rkmmmycfhwtz,2017校园实习生,http://www.shixiseng.com/company/detail/com_fkiswr9du3kg,戴尔(中国),长沙,20-40,1,3,运营,20,40,长沙
http://www.shixiseng.com/intern/inn_zz9twgqvezwh,Luxury Team PR Intern,http://www.shixiseng.com/company/detail/com_f1duo9fexhkr,凯旋公关,北京,60-80,4,4,公关,60,80,北京
http://www.shixiseng.com/intern/inn_czivouye88yv,课戴表-湘潭,http://www.shixiseng.com/company/detail/com_fkiswr9du3kg,戴尔(中国),湘潭,20-40,1,3,商务,20,40,湘潭
http://www.shixiseng.com/intern/inn_5yxakeaejq91,新媒体编辑,http://www.shixiseng.com/company/detail/com_dskc73o7jqel,大V,北京,150-200,5,4,编辑,150,200,北京
http://www.shixiseng.com/intern/inn_rkwcllotjmji,校园实习生,http://www.shixiseng.com/company/detail/com_fkiswr9du3kg,戴尔(中国),"长沙,株洲,湘潭,衡阳,益阳",20-40,1,3,市场,20,40,长沙
http://www.shixiseng.com/intern/inn_jgvnd37d6ab3,校园实习生,http://www.shixiseng.com/company/detail/com_fkiswr9du3kg,戴尔(中国),湖南,20-40,1,3,市场,20,40,湖南
http://www.shixiseng.com/intern/inn_xfeem8thhqnc,课戴表-株洲,http://www.shixiseng.com/company/detail/com_fkiswr9du3kg,戴尔(中国),株洲,20-40,1,3,运营,20,40,株洲
http://www.shixiseng.com/intern/inn_ftyljv43l9kt,实习生,http://www.shixiseng.com/company/detail/com_nl07mxifvljt,羽勒科技,上海,100-200,3,4,运营,100,200,上海
http://www.shixiseng.com/intern/inn_jpqb5edpw4kr,Finance Intern-AP,http://www.shixiseng.com/company/detail/com_j9530xqg2nxi,科勒,上海,100-120,3,7,财会,100,120,上海
http://www.shixiseng.com/intern/inn_am3osjw3kudw,终端管理部用户运营专员,http://www.shixiseng.com/company/detail/com_irvsmanyhhg1,vivo广东省公司,广州,100-120,5,3,新媒体,100,120,广州
http://www.shixiseng.com/intern/inn_cmpc3wky1ggg,财富管理管培生,http://www.shixiseng.com/company/detail/com_9knxl58ncv2f,太阳金融集团,广州,100-200,3,4,运营,100,200,广州
http://www.shixiseng.com/intern/inn_mzoniklqqhxa,人力资源实习生,http://www.shixiseng.com/company/detail/com_nc9fnvljd9ym,长风海洋世界,上海,100-110,3,10,公关,100,110,上海
http://www.shixiseng.com/intern/inn_jrocfzukdifv,理财策划顾问,http://www.shixiseng.com/company/detail/com_9knxl58ncv2f,太阳金融集团,广州,150-250,4,4,商务,150,250,广州
http://www.shixiseng.com/intern/inn_2aspsxtkxnuk,运营专员（偏广告内容）,http://www.shixiseng.com/company/detail/com_mqcbon0a2nej,萌想科技,成都,100-101,5,3,编辑,100,101,成都
http://www.shixiseng.com/intern/inn_x5nuwfpyotei,新媒体运营,http://www.shixiseng.com/company/detail/com_l0b5andvn1tb,九九联动,北京,100-200,4,4,市场,100,200,北京
http://www.shixiseng.com/intern/inn_broosql0m1rn,活动项目助理（偏客户关系）,http://www.shixiseng.com/company/detail/com_mqcbon0a2nej,萌想科技,成都,90-110,5,2,市场,90,110,成都
http://www.shixiseng.com/intern/inn_ls0xixex39g4,新媒体编辑,http://www.shixiseng.com/company/detail/com_67pxow7l0hax,阅路小说,北京,100-150,5,2,运营,100,150,北京
http://www.shixiseng.com/intern/inn_6rvbqzjpqg9c,运营实习生,http://www.shixiseng.com/company/detail/com_67pxow7l0hax,阅路小说,北京,100-150,5,2,运营,100,150,北京
http://www.shixiseng.com/intern/inn_o4ywmom4ci8w,携程销售助理,http://www.shixiseng.com/company/detail/com_w9ivxdp2bz5m,去哪儿网,武汉,100-200,5,5,财会,100,200,武汉
http://www.shixiseng.com/intern/inn_9intl9e7ypzc,携程市场MA,http://www.shixiseng.com/company/detail/com_w9ivxdp2bz5m,去哪儿网,武汉,200-400,4,6,新媒体,200,400,武汉
http://www.shixiseng.com/intern/inn_iwwzectxnhse,推广携程专车,http://www.shixiseng.com/company/detail/com_w9ivxdp2bz5m,去哪儿网,武汉,100-200,4,3,运营,100,200,武汉
http://www.shixiseng.com/intern/inn_mziwkwlpqdya,助理编辑,http://www.shixiseng.com/company/detail/com_67pxow7l0hax,阅路小说,北京,100-150,5,2,公关,100,150,北京
http://www.shixiseng.com/intern/inn_cwzd0pe7fhaz,市场助手MA,http://www.shixiseng.com/company/detail/com_w9ivxdp2bz5m,去哪儿网,武汉,100-200,5,5,商务,100,200,武汉
http://www.shixiseng.com/intern/inn_ibdpzpvvyvwe,地推专员,http://www.shixiseng.com/company/detail/com_w9ivxdp2bz5m,去哪儿网,武汉,100-200,5,5,编辑,100,200,武汉
http://www.shixiseng.com/intern/inn_65enx4falngy,地推运营实习,http://www.shixiseng.com/company/detail/com_w9ivxdp2bz5m,去哪儿网,武汉,100-200,4,3,市场,100,200,武汉
http://www.shixiseng.com/intern/inn_cqbjkonaqayh,市场调研部实习生,http://www.shixiseng.com/company/detail/com_8tmqy6ggvk8m,联合利华,上海,80-120,3,6,市场,80,120,上海
http://www.shixiseng.com/intern/inn_ewxzxyjfa9fe,视觉设计实习生,http://www.shixiseng.com/company/detail/com_hdzbxnqv9rci,随手科技,深圳,148-172,5,12,运营,148,172,深圳
http://www.shixiseng.com/intern/inn_qyc7hehhy64l,项目助理实习生（德语）,http://www.shixiseng.com/company/detail/com_yzcvuavhryrp,安明咨询,上海,120-200,3,5,运营,120,200,上海
http://www.shixiseng.com/intern/inn_axzmv9eeewwk,中科院深圳先进院 CT/PET方向招聘,http://www.shixiseng.com/company/detail/com_iajzjrx7066o,中国科学院深圳先进技术研究院,深圳,80-100,5,15,财会,80,100,深圳
