address   lon           lat         Type 
苹果园     116.186376    39.928216   NO1
古城       116.197012    39.913496   NO1
八角游乐园 116.219577    39.913164   NO1
八宝山     116.242143    39.913385   NO1
玉泉路     116.259318    39.913551   NO1
五棵松     116.280303    39.913994   NO1
万寿路     116.301557    39.913718   NO1
公主坟     116.316594    39.913551   NO1
军事博物馆 116.33032     39.913247   NO1
木樨地     116.344154    39.913109   NO1
南礼士路   116.359201    39.913033   NO1
复兴门     116.364393    39.91306    NO1
西单       116.38067     39.913309   NO1
天安门西   116.398061    39.913752   NO1
天安门东   116.407817    39.914195   NO1
东单       116.424418    39.914499   NO1
建国门     116.440839    39.914513   NO1
永安里     116.457152    39.914236   NO1
国贸       116.466665    39.914126   NO1
大望路     116.482349    39.914153   NO1
四惠       116.501906    39.915004   NO1
四惠东     116.522297    39.914977   NO1
高碑店     116.537946    39.9158     NO1
传媒大学   116.561526    39.915253   NO1
天通苑北   116.419414    40.089656   NO5
天通苑     116.419253    40.0815     NO5
天通苑南   116.419073    40.072749   NO5
立水桥     116.418785    40.059345   NO5
立水桥南   116.420941    40.048176   NO5
北苑路北   116.424526    40.036831   NO5
大屯路东   116.423879    40.010113   NO5
惠新西街南口 116.424049  39.983298   NO5
和平西桥   116.424476    39.974521   NO5
和平里北街 116.425065    39.964762   NO5
雍和宫     116.423012    39.954658   NO5
北新桥     116.423299    39.947112   NO5
张自忠路   116.423591    39.939913   NO5
东四       116.423933    39.930778   NO5
灯市口     116.42418     39.923633   NO5
东单       116.424499    39.914513   NO5
崇文门     116.425002    39.906547   NO5
磁器口     116.425325    39.899348   NO5
天坛东门   116.427378    39.888505   NO5
蒲黄榆     116.428159    39.8717     NO5
刘家窑     116.42855     39.863701   NO5
石榴庄路   116.430832    39.85208    NO5
宋家庄     116.434892    39.851956   NO5

