item,subitem,point1,point2,Ratio
中部,安徽,1,341,20%
环渤海,北京,604,293,-17%
华南,福建,975,998,-48%
西北,甘肃,85,270,15%
华南,广东,315,501,-14%
华南,广西,987,363,-2%
西南,贵州,256,419,-22%
华南,海南,94,505,-15%
环渤海,河北,244,346,38%
中部,河南,79,592,8%
东北,黑龙江,373,993,-44%
中部,湖北,31,812,-12%
中部,湖南,895,370,-10%
东北,吉林,631,727,39%
长三角,江苏,958,447,-45%
中部,江西,71,424,-7%
东北,辽宁,771,570,31%
环渤海,内蒙古,452,921,15%
西北,宁夏,875,424,11%
西北,青海,143,19,39%
环渤海,山东,701,454,34%
中部,山西,296,921,-6%
西北,陕西,302,59,-23%
长三角,上海,21,713,-37%
西南,四川,748,746,25%
环渤海,天津,791,120,-24%
西南,西藏,585,154,29%
西北,新疆,625,813,4%
西南,云南,620,651,-44%
长三角,浙江,33,473,20%
西南,重庆,246,307,5%
