"case","Cname","Ename","scale","peform","group","order","circle"
"Z","浙江","Zhejiang",5,49.8912647203542,"44~50",1,0
"C","内蒙","Inner Mongolia",5,49.1514817182906,"44~50",2,-11.875
"F","福建","Fujian",5,48.1791351083666,"44~50",3,-23.75
"L","江西","Jiangxi",5,46.66871444555,"44~50",4,-35.625
"M","湖北","Hubei",5,46.6408600052819,"44~50",5,-47.5
"O","广东","Guangdong",5,46.3377939956263,"44~50",6,-59.375
"t","台湾","Taiwan",5,45.1396113587543,"44~50",7,-71.25
"e","云南","Hong Kong",5,44.3651650939137,"44~50",8,-83.125
"Q","青海","Qinghai",5,43.9731039758772,"38~44",9,-95
"q","山西","Shanxi",5,42.963713852223,"38~44",10,95
"J","江苏","Jiangsu",5,42.4009992880747,"38~44",11,83.125
"f","澳门","Macau",5,42.3023785697296,"38~44",12,71.25
"N","湖南","Hunan",5,39.4986660033464,"38~44",13,59.375
"B","新疆","Xinjiang",5,39.0704666730016,"38~44",14,47.5
"K","安徽","Anhui",5,38.4951329301111,"38~44",15,35.625
"D","宁夏","Ningxia",5,38.4936164692044,"38~44",16,23.75
"a","上海","Shanghai",5,38.0790828261524,"38~44",17,11.875
"E","广西","Guangxi",5,37.4106001411565,"32~38",18,0
"G","甘肃","Gansu",5,37.3203523783013,"32~38",19,-11.875
"V","吉林","Jilin",5,36.3467087736353,"32~38",20,-23.75
"S","四川","Sichuan",5,35.7765573309734,"32~38",21,-35.625
"P","河北","Hebei",5,35.7375518232584,"32~38",22,-47.5
"H","海南","Hainan",5,34.4796813465655,"32~38",23,-59.375
"d","天津","Tianjian",5,33.7984163220972,"32~38",24,-71.25
"X","山东","Shandong",5,33.2099714875221,"32~38",25,-83.125
"I","贵州","Guizhou",5,30.8486474375241,"26~32",26,-95
"Y","云南","Yunnan",5,30.3443256742321,"26~32",27,95
"U","黑龙江","Heilongjiang",5,27.5847970321774,"26~32",28,83.125
"R","湖南","Henan",5,24.0034594829194,"20~26",29,71.25
"b","云南","Beijing",5,22.5132657913491,"20~26",30,59.375
"c","重庆","Chongqing",5,22.199284916278,"20~26",31,47.5
"W","辽宁","Liaoning",5,22.1066016098484,"20~26",32,35.625
"A","西藏","Tibet",5,21.1659817048348,"20~26",33,23.75
"p","广东","Shaanxi",5,20.9909304277971,"20~26",34,11.875
