region,Address
Afghanistan,Asia
Albania,Europe
Algeria,Africa
American Samoa,Oceania
Andorra,Europe
Angola,Africa
Anguilla,North America
Antarctica,Antarctica
Antigua,North America
Argentina,South America
Armenia,Asia
Aruba,North America
Ascension Island,Europe
Australia,Oceania
Austria,Europe
Azerbaijan,Asia
Azores,Oceania
Bahamas,North America
Bahrain,Asia
Bangladesh,Asia
Barbados,North America
Barbuda,North America
Belarus,Europe
Belgium,Europe
Belize,North America
Benin,Africa
Bermuda,North America
Bhutan,Asia
Bolivia,South America
Bonaire,South America
Bosnia and Herzegovina,Europe
Botswana,Africa
Brazil,South America
Brunei,Asia
Bulgaria,Europe
Burkina Faso,Africa
Burundi,Africa
Cambodia,Asia
Cameroon,Africa
Canada,North America
Canary Islands,Asia
Cape Verde,Africa
Cayman Islands,North America
Central African Republic,Africa
Chad,Africa
Chagos Archipelago,Asia
Chile,South America
China,Asia
Christmas Island,Oceania
Cocos Islands,Oceania
Colombia,South America
Comoros,Africa
Cook Islands,Oceania
Costa Rica,North America
Croatia,Europe
Cuba,North America
Curacao,North America
Cyprus,Europe
Czech Republic,Europe
Democratic Republic of the Congo,Africa
Denmark,Europe
Djibouti,Africa
Dominica,North America
Dominican Republic,North America
Ecuador,South America
Egypt,Africa
El Salvador,North America
Equatorial Guinea,Africa
Eritrea,Africa
Estonia,Europe
Ethiopia,Africa
Falkland Islands,South America
Faroe Islands,Europe
Fiji,Oceania
Finland,Europe
France,Europe
French Guiana,South America
French Polynesia,Oceania
French Southern and Antarctic Lands,Antarctica
Gabon,Africa
Gambia,Africa
Georgia,Asia
Germany,Europe
Ghana,Africa
Greece,Europe
Greenland,North America
Grenada,North America
Grenadines,Oceania
Guadeloupe,North America
Guam,Oceania
Guatemala,North America
Guernsey,Europe
Guinea,Africa
Guinea-Bissau,Africa
Guyana,South America
Haiti,North America
Heard Island,Antarctica
Honduras,North America
Hungary,Europe
Iceland,Europe
India,Asia
Indonesia,Asia
Iran,Asia
Iraq,Asia
Ireland,Europe
Isle of Man,Europe
Israel,Asia
Italy,Europe
Ivory Coast,Africa
Jamaica,North America
Japan,Asia
Jersey,Europe
Jordan,Asia
Kazakhstan,Asia
Kenya,Africa
Kiribati,Antarctica
Kosovo,Europe
Kuwait,Asia
Kyrgyzstan,Asia
Laos,Asia
Latvia,Europe
Lebanon,Asia
Lesotho,Africa
Liberia,Africa
Libya,Africa
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
Macedonia,Europe
Madagascar,Africa
Madeira Islands,Africa
Malawi,Africa
Malaysia,Asia
Maldives,Asia
Mali,Africa
Malta,Europe
Marshall Islands,Oceania
Martinique,North America
Mauritania,Africa
Mauritius,Africa
Mayotte,Africa
Mexico,North America
Micronesia,Oceania
Moldova,Europe
Monaco,Europe
Mongolia,Asia
Montenegro,Europe
Montserrat,North America
Morocco,Africa
Mozambique,Africa
Myanmar,Asia
Namibia,Africa
Nauru,Oceania
Nepal,Asia
Netherlands,Europe
Nevis,North America
New Caledonia,Oceania
New Zealand,Oceania
Nicaragua,North America
Niger,Africa
Nigeria,Africa
Niue,Oceania
Norfolk Island,Oceania
North Korea,Asia
Northern Mariana Islands,Asia
Norway,Europe
Oman,Asia
Pakistan,Asia
Palau,Asia
Palestine,Asia
Panama,North America
Papua New Guinea,Asia
Paraguay,South America
Peru,South America
Philippines,Asia
Pitcairn Islands,Asia
Poland,Europe
Portugal,Europe
Puerto Rico,North America
Qatar,Asia
Republic of Congo,Africa
Reunion,Asia
Romania,Europe
Russia,Europe
Rwanda,Africa
Saba,Asia
Saint Barthelemy,North America
Saint Helena,Antarctica
Saint Kitts,North America
Saint Lucia,North America
Saint Martin,North America
Saint Pierre and Miquelon,North America
Saint Vincent,North America
Samoa,Oceania
San Marino,Europe
Sao Tome and Principe,Africa
Saudi Arabia,Asia
Senegal,Africa
Serbia,Europe
Seychelles,Africa
Siachen Glacier,Asia
Sierra Leone,Africa
Singapore,Asia
Sint Eustatius,North America
Sint Maarten,North America
Slovakia,Europe
Slovenia,Europe
Solomon Islands,Oceania
Somalia,Africa
South Africa,Africa
South Georgia,South America
South Korea,Asia
South Sandwich Islands,Antarctica
South Sudan,Africa
Spain,Europe
Sri Lanka,Asia
Sudan,Africa
Suriname,South America
Swaziland,Africa
Sweden,Europe
Switzerland,Europe
Syria,Asia
Taiwan,Asia
Tajikistan,Asia
Tanzania,Africa
Thailand,Asia
Timor-Leste,Asia
Tobago,South America
Togo,Africa
Tonga,Oceania
Trinidad,North America
Tunisia,Africa
Turkey,Asia
Turkmenistan,Asia
Turks and Caicos Islands,North America
Uganda,Africa
UK,Europe
Ukraine,Europe
United Arab Emirates,Asia
Uruguay,South America
USA,North America
Uzbekistan,Asia
Vanuatu,Oceania
Vatican,Europe
Venezuela,South America
Vietnam,Asia
Virgin Islands,North America
Wallis and Futuna,Oceania
Western Sahara,Africa
Yemen,Asia
Zambia,Africa
Zimbabwe,Africa
