"","UserID","Monetary","Frequency","Recency","rankR","rankF","rankM","rankRMF","rankR1","rankF1","rankM1","rankRMF1","M_S","F_S","R_S","Custom"
"1",14568,6255,15,27,2,4,3,243,0.866995073891626,0.523809523809524,0.433791748526523,2.8,1,2,1,"一般保护客户"
"2",14569,5420,12,16,3,2,2,322,0.921182266009852,0.380952380952381,0.368172888015717,2.5,1,1,1,"潜在客户"
"3",14570,8261,15,17,3,4,4,344,0.916256157635468,0.523809523809524,0.591434184675835,3.5,2,2,1,"重点保持客户"
"4",14571,8124,15,14,4,4,4,444,0.931034482758621,0.523809523809524,0.580667976424362,4,2,2,2,"高价值客户"
"5",14572,3334,8,19,3,1,1,311,0.9064039408867,0.19047619047619,0.204243614931238,2,1,1,1,"潜在客户"
"6",14573,4358,10,2,5,1,1,511,0.990147783251232,0.285714285714286,0.284715127701375,3,1,1,2,"一般发展客户"
"7",14574,8506,15,114,1,4,5,145,0.438423645320197,0.523809523809524,0.610687622789784,2.7,2,2,1,"重点保持客户"
"8",14575,7432,17,1,5,5,4,554,0.995073891625616,0.619047619047619,0.526286836935167,4.8,2,2,2,"高价值客户"
"9",14576,6481,13,26,2,3,3,233,0.87192118226601,0.428571428571429,0.451552062868369,2.5,1,2,1,"一般保护客户"
"10",14577,2737,8,7,5,1,1,511,0.96551724137931,0.19047619047619,0.157328094302554,3,1,1,2,"一般发展客户"
"11",14578,7137,16,58,1,4,4,144,0.714285714285714,0.571428571428571,0.503104125736739,2.5,2,2,1,"重点保持客户"
"12",14579,7882,17,2,5,5,4,554,0.990147783251232,0.619047619047619,0.561650294695481,4.8,2,2,2,"高价值客户"
"13",14580,8020,15,80,1,4,4,144,0.605911330049261,0.523809523809524,0.572495088408644,2.5,2,2,1,"重点保持客户"
"14",14581,10988,19,110,1,5,5,155,0.458128078817734,0.714285714285714,0.80573673870334,3,2,2,1,"重点保持客户"
"15",14582,8294,15,3,5,4,5,545,0.985221674876847,0.523809523809524,0.594027504911591,4.7,2,2,2,"高价值客户"
"16",14583,6054,15,13,4,4,3,443,0.935960591133005,0.523809523809524,0.417996070726916,3.8,1,2,2,"重点保护客户"
"17",14584,6140,11,17,3,2,3,323,0.916256157635468,0.333333333333333,0.42475442043222,2.7,1,1,1,"潜在客户"
"18",14585,11635,20,83,1,5,5,155,0.591133004926108,0.761904761904762,0.856581532416503,3,2,2,1,"重点保持客户"
"19",14586,6956,14,38,2,3,3,233,0.812807881773399,0.476190476190476,0.488880157170923,2.5,1,2,1,"一般保护客户"
"20",14587,3324,11,78,1,2,1,121,0.61576354679803,0.333333333333333,0.203457760314342,1.3,1,1,1,"潜在客户"
"21",14588,6519,13,49,1,3,3,133,0.758620689655172,0.428571428571429,0.454538310412574,2,1,2,1,"一般保护客户"
