"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
8923,48,"CHN","China",20,"Ningxia Hui",221,"Guyuan","<U+56FA><U+539F><U+5E02>","Gùyuán","Dìjíshì","Prefecture City"
8924,48,"CHN","China",20,"Ningxia Hui",222,"Shizuishan","<U+77F3><U+5634><U+5C71><U+5E02>","Shízuishan","Dìjíshì","Prefecture City"
8925,48,"CHN","China",20,"Ningxia Hui",223,"Wuzhong","<U+5434><U+5FE0><U+5E02>","Wúzhong","Dìjíshì","Prefecture City"
8926,48,"CHN","China",20,"Ningxia Hui",224,"Yinchuan","<U+94F6><U+5DDD><U+5E02>","Yínchuan","Dìjíshì","Prefecture City"
8927,48,"CHN","China",20,"Ningxia Hui",225,"Zhongwei","<U+4E2D><U+536B><U+5E02>","Zhongwèi","Dìjíshì","Prefecture City"
8928,48,"CHN","China",21,"Paracel Islands",226,"Paracel Islands","<U+6AA8><U+165E><U+0E28><U+09C7><U+3D98><U+7DA4><ef><U+00BF><U+00BF>ÿo<U+030C><U+6864><U+6C54>","Xisha Qúndao","Qúndao","Island"
8929,48,"CHN","China",22,"Qinghai",227,"Golog Tibetan","<U+679C><U+6D1B><U+85CF><U+65CF><U+81EA><U+6CBB><U+5DDE>","Guoluò Zàngzú","Zìzhìzhou","Autonomous Prefecture"
8930,48,"CHN","China",22,"Qinghai",228,"Gyêgu Tibetan","<U+7389><U+6811><U+85CF><U+65CF><U+81EA><U+6CBB><U+5DDE>","Yùshù Zàngzú","Zìzhìzhou","Autonomous Prefecture"
8931,48,"CHN","China",22,"Qinghai",229,"Haibei Tibetan","<U+6D77><U+5317><U+85CF><U+65CF><U+81EA><U+6CBB><U+5DDE>","Haibei Zàngzú","Zìzhìzhou","Autonomous Prefecture"
8932,48,"CHN","China",22,"Qinghai",230,"Haidong","<U+6D77><U+4E1C><U+5730><U+533A>","Haidong","Dìqu","Prefecture"
8933,48,"CHN","China",22,"Qinghai",231,"Hainan Tibetan","<U+6D77><U+5357><U+85CF><U+65CF><U+81EA><U+6CBB><U+5DDE>","Hainán Zàngzú","Zìzhìzhou","Autonomous Prefecture"
8934,48,"CHN","China",22,"Qinghai",232,"Haixi Mongol and Tibetan","<U+6D77><U+897F><U+8499><U+53E4><U+65CF><U+85CF><U+65CF><U+81EA><U+6CBB><U+5DDE>","Haixi Mengguzú Zàngzú","Zìzhìzhou","Autonomous Prefecture"
8935,48,"CHN","China",22,"Qinghai",233,"Huangnan Tibetan","<U+9EC4><U+5357><U+85CF><U+65CF><U+81EA><U+6CBB><U+5DDE>","Huángnán Zàngzú","Zìzhìzhou","Autonomous Prefecture"
8936,48,"CHN","China",22,"Qinghai",234,"Xining","<U+897F><U+5B81><U+5E02>","Xiníng","Dìjíshì","Prefecture City"
8937,48,"CHN","China",23,"Shaanxi",235,"Ankang","<U+5B89><U+5EB7><U+5E02>","Ankang","Dìjíshì","Prefecture City"
8938,48,"CHN","China",23,"Shaanxi",236,"Baoji","<U+5B9D><U+9E21><U+5E02>","Baoji","Dìjíshì","Prefecture City"
8939,48,"CHN","China",23,"Shaanxi",237,"Hanzhong","<U+6C49><U+4E2D><U+5E02>","Hànzhong","Dìjíshì","Prefecture City"
8940,48,"CHN","China",23,"Shaanxi",238,"Shangluo","<U+5546><U+6D1B><U+5E02>","Shangluò","Dìjíshì","Prefecture City"
8941,48,"CHN","China",23,"Shaanxi",239,"Tongchuan","<U+94DC><U+5DDD><U+5E02>","Tóngchuan","Dìjíshì","Prefecture City"
8942,48,"CHN","China",23,"Shaanxi",240,"Weinan","<U+6E2D><U+5357><U+5E02>","Wèinán","Dìjíshì","Prefecture City"
11740,48,"CHN","China",1,"Anhui",1,"Anqing","<U+5B89><U+5E86><U+5E02>","Anqìng","Dìjíshì","Prefecture City"
11741,48,"CHN","China",1,"Anhui",2,"Bengbu","<U+868C><U+57E0><U+5E02>","Bèngbù","Dìjíshì","Prefecture City"
11742,48,"CHN","China",1,"Anhui",3,"Bozhou","<U+4EB3><U+5DDE><U+5E02>","Bózhou","Dìjíshì","Prefecture City"
11743,48,"CHN","China",1,"Anhui",4,"Chaohu","<U+5DE2><U+6E56><U+5E02>","Cháohú","Dìjíshì","Prefecture City"
11744,48,"CHN","China",1,"Anhui",5,"Chizhou","<U+6C60><U+5DDE><U+5E02>","Chízhou","Dìjíshì","Prefecture City"
11745,48,"CHN","China",1,"Anhui",6,"Chuzhou","<U+6EC1><U+5DDE><U+5E02>","Chúzhou","Dìjíshì","Prefecture City"
11746,48,"CHN","China",1,"Anhui",7,"Fuyang","<U+961C><U+9633><U+5E02>","Fùyáng","Dìjíshì","Prefecture City"
11747,48,"CHN","China",1,"Anhui",8,"Hefei","<U+5408><U+80A5><U+5E02>","Héféi","Dìjíshì","Prefecture City"
11748,48,"CHN","China",1,"Anhui",9,"Huaibei","<U+6DEE><U+5317><U+5E02>","Huáibei","Dìjíshì","Prefecture City"
