"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
16791,48,"CHN","China",5,"Gansu",34,"Jiuquan",215,"Subei Mongol","<U+8083><U+5317><U+8499><U+53E4><U+65CF><U+81EA><U+6CBB><U+53BF>","Sùbei Mengguzú","Zìzhìxiàn","Autonomous County"
16792,48,"CHN","China",5,"Gansu",34,"Jiuquan",216,"Suzhou","<U+8083><U+5DDE><U+533A>","Sùzhou","Shìxiáqu","District"
19397,48,"CHN","China",5,"Gansu",34,"Jiuquan",217,"Yumen","","","Xiànjíshì","County City"
19398,48,"CHN","China",5,"Gansu",35,"Lanzhou",218,"Gaolan","<U+768B><U+5170><U+53BF>","Gaolán","Xiàn","County"
19399,48,"CHN","China",5,"Gansu",35,"Lanzhou",219,"Liangzhou","<U+51C9><U+5DDE><U+533A>","Liángzhou","Shìxiáqu","District"
19400,48,"CHN","China",5,"Gansu",35,"Lanzhou",220,"Yongdeng","<U+6C38><U+767B><U+53BF>","Yongdeng","Xiàn","County"
19401,48,"CHN","China",5,"Gansu",35,"Lanzhou",221,"Yuzhong","<U+6986><U+4E2D><U+53BF>","Yúzhong","Xiàn","County"
19402,48,"CHN","China",5,"Gansu",36,"Linxia Hui",222,"Dongxiang","<U+4E1C><U+4E61><U+65CF><U+81EA><U+6CBB><U+53BF>","Dongxiangzú","Zìzhìxiàn","Autonomous County"
19403,48,"CHN","China",5,"Gansu",36,"Linxia Hui",223,"Guanghe","<U+5E7F><U+6CB3><U+53BF>","Guanghé","Xiàn","County"
19404,48,"CHN","China",5,"Gansu",36,"Linxia Hui",224,"Hezheng","<U+548C><U+653F><U+53BF>","Hézhèng","Xiàn","County"
19405,48,"CHN","China",5,"Gansu",36,"Linxia Hui",225,"Jishishan Bonan, Dongxiang and Salar","<U+79EF><U+77F3><U+5C71><U+4FDD><U+5B89><U+65CF><U+4E1C><U+4E61><U+65CF><U+6492><U+62C9><U+65CF><U+81EA><U+6CBB><U+53BF>","Jishíshan Bao'anzú Dongxiangzú Salazú","Zìzhìxiàn","Autonomous County"
19406,48,"CHN","China",5,"Gansu",36,"Linxia Hui",226,"Kangle","<U+5EB7><U+4E50><U+53BF>","Kanglè","Xiàn","County"
19407,48,"CHN","China",5,"Gansu",36,"Linxia Hui",227,"Linxia Shi","<U+4E34><U+590F><U+5E02>","Línxià","Xiànjíshì","County City"
19408,48,"CHN","China",5,"Gansu",36,"Linxia Hui",228,"Linxia","<U+4E34><U+590F><U+5E02>","Línxià","Xiàn","County"
19409,48,"CHN","China",5,"Gansu",36,"Linxia Hui",229,"Yongjing","<U+6C38><U+9756><U+53BF>","Yongjìng","Xiàn","County"
19410,48,"CHN","China",5,"Gansu",37,"Longnan",230,"Cheng","<U+6210><U+53BF>","Chéng","Xiàn","County"
19411,48,"CHN","China",5,"Gansu",37,"Longnan",231,"Dangchang","<U+5B95><U+660C><U+53BF>","Dàngchang","Xiàn","County"
19412,48,"CHN","China",5,"Gansu",37,"Longnan",232,"Hui","<U+5FBD><U+53BF>","Hui","Xiàn","County"
19413,48,"CHN","China",5,"Gansu",37,"Longnan",233,"Kang","<U+5EB7><U+53BF>","Kang","Xiàn","County"
19414,48,"CHN","China",5,"Gansu",37,"Longnan",234,"Li","<U+793C><U+53BF>","Li","Xiàn","County"
