"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,86,"DEU","Germany",1,"Baden-Württemberg","DE.BW",NA,"08","Land","State","",""
2,86,"DEU","Germany",2,"Bayern","DE.BY",NA,"09","Freistaat","","","Bavaria"
3,86,"DEU","Germany",3,"Berlin","DE.BE",NA,"11","Land","State","",""
4,86,"DEU","Germany",4,"Brandenburg","DE.BR",NA,"12","Land","State","",""
5,86,"DEU","Germany",5,"Bremen","DE.HB",NA,"04","Freie Hansestadt","State","","<Null>"
6,86,"DEU","Germany",6,"Hamburg","DE.HH",NA,"02","Freie und Hansestadt","State","",""
7,86,"DEU","Germany",7,"Hessen","DE.HE",NA,"06","Land","State","","Hesse"
8,86,"DEU","Germany",8,"Mecklenburg-Vorpommern","DE.MV",NA,"13","Land","State","","Mecklenburg-West Pomerania"
9,86,"DEU","Germany",9,"Niedersachsen","DE.NI",NA,"03","Land","State","","Lower Saxony"
10,86,"DEU","Germany",10,"Nordrhein-Westfalen","DE.NW",NA,"05","Land","State","","North Rhine-Westphalia"
11,86,"DEU","Germany",11,"Rheinland-Pfalz","DE.RP",NA,"07","Land","State","","Rhineland-Palatinate"
12,86,"DEU","Germany",12,"Saarland","DE.SL",NA,"10","Land","State","",""
13,86,"DEU","Germany",13,"Sachsen-Anhalt","DE.ST",NA,"15","Land","State","","Saxony-Anhalt"
14,86,"DEU","Germany",14,"Sachsen","DE.SN",NA,"14","Freistaat","State","","Saxony"
15,86,"DEU","Germany",15,"Schleswig-Holstein","DE.SH",NA,"01","Land","State","",""
16,86,"DEU","Germany",16,"Thüringen","DE.TH",NA,"16","Freistaat","State","","Thuringia"
