"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,86,"DEU","Germany",1,"Baden-Württemberg",1,"Alb-Donau-Kreis","DE.BW.AD",NA,"08425","Landkreis","District","",""
2,86,"DEU","Germany",1,"Baden-Württemberg",2,"Böblingen","DE.BW.BL",NA,"08115","Landkreis","District","",""
3,86,"DEU","Germany",1,"Baden-Württemberg",3,"Baden-Baden","DE.BW.BB",NA,"08211","Stadtkreis","District","",""
4,86,"DEU","Germany",1,"Baden-Württemberg",4,"Biberach","DE.BW.BR",NA,"08426","Landkreis","District","",""
5,86,"DEU","Germany",1,"Baden-Württemberg",5,"Bodenseekreis","DE.BW.BD",NA,"08435","Landkreis","District","",""
6,86,"DEU","Germany",1,"Baden-Württemberg",6,"Bodensee","",NA,"","Water body","Water body","",""
7,86,"DEU","Germany",1,"Baden-Württemberg",7,"Breisgau-Hochschwarzwald","DE.BW.BH",NA,"08315","Landkreis","District","",""
8,86,"DEU","Germany",1,"Baden-Württemberg",8,"Calw","DE.BW.CL",NA,"08235","Landkreis","District","",""
9,86,"DEU","Germany",1,"Baden-Württemberg",9,"Emmendingen","DE.BW.EM",NA,"08316","Landkreis","District","",""
10,86,"DEU","Germany",1,"Baden-Württemberg",10,"Enzkreis","DE.BW.EZ",NA,"08236","Landkreis","District","",""
11,86,"DEU","Germany",1,"Baden-Württemberg",11,"Esslingen","DE.BW.ES",NA,"08116","Landkreis","District","",""
12,86,"DEU","Germany",1,"Baden-Württemberg",12,"Freiburg im Breisgau","DE.BW.FB",NA,"08311","Stadtkreis","District","",""
13,86,"DEU","Germany",1,"Baden-Württemberg",13,"Freudenstadt","DE.BW.FE",NA,"08237","Landkreis","District","",""
14,86,"DEU","Germany",1,"Baden-Württemberg",14,"Göppingen","DE.BW.GP",NA,"08117","Landkreis","District","",""
15,86,"DEU","Germany",1,"Baden-Württemberg",15,"Heidelberg","DE.BW.HD",NA,"08221","Stadtkreis","District","",""
16,86,"DEU","Germany",1,"Baden-Württemberg",16,"Heidenheim","DE.BW.HH",NA,"08135","Landkreis","District","",""
17,86,"DEU","Germany",1,"Baden-Württemberg",17,"Heilbronn","DE.BW.HB",NA,"08125","Landkreis","District","",""
18,86,"DEU","Germany",1,"Baden-Württemberg",18,"Heilbronn","DE.BW.HB",NA,"08121","Stadtkreis","District","",""
19,86,"DEU","Germany",1,"Baden-Württemberg",19,"Hohenlohekreis","DE.BW.HL",NA,"08126","Landkreis","District","",""
20,86,"DEU","Germany",1,"Baden-Württemberg",20,"Karlsruhe","DE.BW.KL",NA,"08215","Landkreis","District","",""
21,86,"DEU","Germany",1,"Baden-Württemberg",21,"Karlsruhe","DE.BW.KL",NA,"08212","Stadtkreis","District","",""
22,86,"DEU","Germany",1,"Baden-Württemberg",22,"Konstanz","DE.BW.KN",NA,"08335","Landkreis","District","",""
23,86,"DEU","Germany",1,"Baden-Württemberg",23,"Lörrach","DE.BW.LR",NA,"08336","Landkreis","District","",""
24,86,"DEU","Germany",1,"Baden-Württemberg",24,"Ludwigsburg","DE.BW.LD",NA,"08118","Landkreis","District","",""
25,86,"DEU","Germany",1,"Baden-Württemberg",25,"Main-Tauber-Kreis","DE.BW.MT",NA,"08128","Landkreis","District","",""
26,86,"DEU","Germany",1,"Baden-Württemberg",26,"Mannheim","DE.BW.MN",NA,"08222","Stadtkreis","District","",""
27,86,"DEU","Germany",1,"Baden-Württemberg",27,"Neckar-Odenwald-Kreis","DE.BW.NO",NA,"08225","Landkreis","District","",""
28,86,"DEU","Germany",1,"Baden-Württemberg",28,"Ortenaukreis","DE.BW.OR",NA,"08317","Landkreis","District","",""
29,86,"DEU","Germany",1,"Baden-Württemberg",29,"Ostalbkreis","DE.BW.OA",NA,"08136","Landkreis","District","",""
30,86,"DEU","Germany",1,"Baden-Württemberg",30,"Pforzheim","DE.BW.PO",NA,"08231","Stadtkreis","District","",""
31,86,"DEU","Germany",1,"Baden-Württemberg",31,"Rastatt","DE.BW.RS",NA,"08216","Landkreis","District","",""
32,86,"DEU","Germany",1,"Baden-Württemberg",32,"Ravensburg","DE.BW.RV",NA,"08436","Landkreis","District","",""
33,86,"DEU","Germany",1,"Baden-Württemberg",33,"Rems-Murr-Kreis","DE.BW.RM",NA,"08119","Landkreis","District","",""
34,86,"DEU","Germany",1,"Baden-Württemberg",34,"Reutlingen","DE.BW.RU",NA,"08415","Landkreis","District","",""
35,86,"DEU","Germany",1,"Baden-Württemberg",35,"Rhein-Neckar-Kreis","DE.BW.RN",NA,"08226","Landkreis","District","",""
36,86,"DEU","Germany",1,"Baden-Württemberg",36,"Rottweil","DE.BW.RT",NA,"08325","Landkreis","District","",""
