"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,102,"HKG","Hong Kong",1,"Central and Western","HK.CW",NA,"","District","District","",""
2,102,"HKG","Hong Kong",2,"Eastern","HK.EA",NA,"","District","District","",""
3,102,"HKG","Hong Kong",3,"Islands","HK.IS",NA,"","District","District","",""
4,102,"HKG","Hong Kong",4,"Kowloon City","HK.KC",NA,"","District","District","",""
5,102,"HKG","Hong Kong",5,"Kwai Tsing","HK.KI",NA,"","District","District","",""
6,102,"HKG","Hong Kong",6,"Kwun Tong","HK.KU",NA,"","District","District","",""
7,102,"HKG","Hong Kong",7,"North","HK.NO",NA,"","District","District","",""
8,102,"HKG","Hong Kong",8,"Sai Kung","HK.SK",NA,"","District","District","",""
9,102,"HKG","Hong Kong",9,"Sha Tin","HK.ST",NA,"","District","District","",""
10,102,"HKG","Hong Kong",10,"Sham Shui Po","HK.SS",NA,"","District","District","",""
11,102,"HKG","Hong Kong",11,"Southern","HK.SO",NA,"","District","District","",""
12,102,"HKG","Hong Kong",12,"Tai Po","HK.TP",NA,"","District","District","",""
13,102,"HKG","Hong Kong",13,"Tsuen Wan","HK.TW",NA,"","District","District","",""
14,102,"HKG","Hong Kong",14,"Tuen Mun","HK.TM",NA,"","District","District","",""
15,102,"HKG","Hong Kong",15,"Wan Chai","HK.WC",NA,"","District","District","",""
16,102,"HKG","Hong Kong",16,"Wong Tai Sin","HK.WT",NA,"","District","District","",""
17,102,"HKG","Hong Kong",17,"Yau Tsim Mong","HK.YT",NA,"","District","District","",""
18,102,"HKG","Hong Kong",18,"Yuen Long","HK.YL",NA,"","District","District","",""
