"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,225,"TWN","Taiwan",1,"Fujian",1,"Kinmen","TW.FK.KM",NA,"","County","County","<U+91D1><U+9580><U+7E23>","Jinmén Xiàn"
2,225,"TWN","Taiwan",1,"Fujian",2,"Lienkiang (Matsu Islands)","TW.FK.LK",NA,"","County","County","<U+99AC><U+7956><U+5217><U+5CF6>","Mazu Lièdao"
3,225,"TWN","Taiwan",2,"Kaohsiung",3,"Hsinchu City","TW.TA.HS",NA,"","Provincial City","Provincial City","<U+65B0><U+7AF9><U+5E02>","Xinzhú Shì"
4,225,"TWN","Taiwan",2,"Kaohsiung",4,"Kaohsiung","TW.KH.KS",NA,"","Special Municipality","Special Municipality","<U+9AD8><U+96C4><U+5E02>","Gaoxióng Shì"
5,225,"TWN","Taiwan",3,"New Taipei",5,"New Taipei City","TW.NT.TP",NA,"","Special Municipality","Special Municipality","<U+65B0><U+5317><U+5E02>","Xinbei Shì"
6,225,"TWN","Taiwan",4,"Taichung",6,"Taichung","TW.TG.TU",NA,"","Special Municipality","Special Municipality","<U+53F0><U+4E2D>","Taichung City"
7,225,"TWN","Taiwan",5,"Tainan",7,"Tainan","TW.TN.TI",NA,"","Special Municipality","Special Municipality","<U+53F0><U+5357>","Tainan City"
8,225,"TWN","Taiwan",6,"Taipei",8,"Taipei","TW.TP.TC",NA,"","Special Municipality","Special Municipality","<U+53F0><U+5317><U+5E02>","Táibei Shì"
9,225,"TWN","Taiwan",6,"Taipei",9,"Taoyuan","TW.TA.TY",NA,"","Special Municipality","Special Municipality","<U+6843><U+5712><U+5E02>","Táoyuán Shì"
10,225,"TWN","Taiwan",7,"Taiwan",10,"Changhua","TW.TA.CG",NA,"","County","County","<U+5F70><U+5316><U+7E23>","Zhanghuà Xiàn"
11,225,"TWN","Taiwan",7,"Taiwan",11,"Chiayi City","TW.TA.CS",NA,"","Provincial City","Provincial City","<U+5609><U+7FA9><U+5E02>","Jiayì Shì"
12,225,"TWN","Taiwan",7,"Taiwan",12,"Chiayi County","TW.TA.CH",NA,"","County","County","<U+5609><U+7FA9><U+7E23>","Jiayì Xiàn"
13,225,"TWN","Taiwan",7,"Taiwan",13,"Hsinchu County","TW.TA.HS",NA,"","County","County","<U+65B0><U+7AF9><U+7E23>","Xinzhú Xiàn"
14,225,"TWN","Taiwan",7,"Taiwan",14,"Hualien","TW.TA.HL",NA,"","County","County","<U+82B1><U+84EE><U+7E23>","Hualián Xiàn"
15,225,"TWN","Taiwan",7,"Taiwan",15,"Keelung","TW.TA.CL",NA,"","Provincial City","Provincial City","<U+57FA><U+9686><U+5E02>","Jilóng Shì | Jilong | Chilung"
16,225,"TWN","Taiwan",7,"Taiwan",16,"Miaoli","TW.TA.ML",NA,"","County","County","<U+82D7><U+6817><U+7E23>","Miáolì Xiàn"
17,225,"TWN","Taiwan",7,"Taiwan",17,"Nantou","TW.TA.NT",NA,"","County","County","<U+5357><U+6295><U+7E23>","Nántóu Xiàn"
18,225,"TWN","Taiwan",7,"Taiwan",18,"Penghu","TW.TA.PH",NA,"","County","County","<U+6F8E><U+6E56><U+7E23>","Penghú Xiàn"
19,225,"TWN","Taiwan",7,"Taiwan",19,"Pingtung","TW.TA.PT",NA,"","County","County","<U+5C4F><U+6771><U+7E23>","Píngdong Xiàn"
20,225,"TWN","Taiwan",7,"Taiwan",20,"Taitung","TW.TA.TT",NA,"","County","County","<U+53F0><U+6771><U+7E23>","Táidong Xiàn"
21,225,"TWN","Taiwan",7,"Taiwan",21,"Yilan","TW.TA.IL",NA,"","County","County","<U+5B9C><U+862D><U+7E23>","Yílán Xiàn"
22,225,"TWN","Taiwan",7,"Taiwan",22,"Yulin","TW.TA.YL",NA,"","County","County","<U+96F2><U+6797><U+7E23>","Yúnlín Xiàn"
