NAME_2,city,zhibiao,zhibiao2,,,,
Anyang,安阳,0.92,,,,,
Hebi,鹤壁,0.19,,,,,
Jiaozuo,焦作,0.09,,,,,
Jiyuan shi,济源,0.41,,,,,
Kaifeng,开封,0.63,,,,,
Luohe,漯河,0.52,,,,,
Luoyang,洛阳,0.64,,,,,
Nanyang,南阳,0.29,,,,,                                                 
Pingdingshan,平顶山,0.17,,,,,                                       
Puyang,濮阳,0.6,,,,,      
Sanmenxia,三门峡,0.86,,,,,
Shangqiu,商丘,0.62,,,,,
Xinxiang,新乡,0.3,,,,,
Xinyang,信阳,0.36,,,,,
Xuchang,许昌,0.55,,,,,
Zhengzhou,郑州,0.08,,,,,
Zhoukou,周口,0.11,,,,,
Zhumadian,驻马店,0.26,,,,,
