NAME_2,city,zhibiao
Fuzhou,福州,149
Longyan,龙岩,83
Nanping,南平,104
Ningde,宁德,77
Putian,莆田,122
Quanzhou,泉州,12
Sanming,三明,47
Xiamen,厦门,77
Zhangzhou,漳州,116
Chaozhou,潮州,3
Dongguan,东莞,113
Foshan,佛山,64
Guangzhou,广州,33
Heyuan,河源,148
Huizhou,惠州,115
Jiangmen,江门,107
Jieyang,揭阳,41
Maoming,茂名,129
Meizhou,梅州,53
Qingyuan,清远,45
Shantou,汕头,91
Shanwei,汕尾,88
Shaoguan,韶关,41
Shenzhen,深圳,50
Yangjiang,阳江,33
Yunfu,云浮,80
Zhanjiang,湛江,62
Zhaoqing,肇庆,130
Zhongshan,中山,130
Zhuhai,珠海,32
Baise,百色,81
Beihai,北海,33
Chongzuo,崇左,143
Fangchenggang,防城港,51
Guigang,贵阳,24
Guilin,桂林,119
Hechi,河池,77
Hezhou,贺州,69
Laibin,来宾,98
Liuzhou,柳州,68
Nanning,南宁,63
Qinzhou,钦州,121
Wuzhou,梧州,53
Yulin,玉林,110
Haikou,海口,102
Hainan,海南,46
Sanya,三亚,122
