NAME_2,city,zhibiao
Beijing,北京,111
Baoding,保定,139
Cangzhou,沧州,118
Chengde,承德,65
Handan,邯郸,112
Hengshui,衡水,63
Langfang,廊坊,67
Qinhuangdao,秦皇岛,60
Shijiazhuang,石家庄,187
Tangshan,唐山,31
Xingtai,邢台,95
Zhangjiakou,张家口,92
Alxa,阿拉善盟,106
Baotou,包头,200
Baynnur,巴彦淖尔,167
Chifeng,赤峰,75
Hohhot,呼和浩特,158
Hulunbuir,呼伦贝尔,179
Ordos,鄂尔多斯,97
Tongliao,通辽,67
Ulaan Chab,乌兰察布,157
Wuhai,乌海,125
Xilin Gol,锡林郭勒盟,10
Xing'an,兴安盟,154
Binzhou,滨州,140
Dezhou,德州,158
Dongying,东营,102
Heze,菏泽,79
Jinan,济南,76
Jining,济宁,79
Laiwu,莱芜,48
Liaocheng,聊城,39
Linyi,临沂,78
Qingdao,青岛,161
Rizhao,日照,97
Tai'an,泰安,68
Weifang,潍坊,124
Weihai,威海,46
Yantai,烟台,32
Zaozhuang,枣庄,108
Zibo,淄博,24
Tianjin,天津,185
