NAME_2,city,zhibiao
Guyuan,固原,33
Shizuishan,石嘴山,10
Wuzhong,吴忠,84
Yinchuan,银川,58
Zhongwei,中卫,25
Golog Tibetan,果洛藏族自治州,41
Gy阦u Tibetan,玉树藏族自治州,74
Haibei Tibetan,海北藏族自治州,191
Haidong,海东地区,111
Hainan Tibetan,海南藏族自治州,120
Haixi Mongol and Tibetan,海西蒙古族藏族自治州,165
Huangnan Tibetan,黄南藏族自治州,27
Xining,西宁,98
Ankang,安康,116
Baoji,宝鸡,104
Hanzhong,汉中,87
Shangluo,商洛,154
Tongchuan,铜川,24
Weinan,渭南,187
Baiyin,白银,95
Dingxi,定西,133
Gannan Tibetan,甘南藏族自治州,141
Jiayuguan,嘉峪关,42
Jinchang,金昌,101
Jiuquan,酒泉,109
Lanzhou,兰州,43
Linxia Hui,临夏回族自治州,182
Longnan,陇南,189
Pingliang,平梁,122
Qingyang,庆阳,102
Tianshui,天水,34
Wuwei,武威,129
Zhangye,张掖,188
Xi'an,西安,172
Xianyang,咸阳,81
Yan'an,延安,127
Yulin,榆林,10
Aksu,阿克苏地区,98
Altay,阿勒泰地区,151
Bayin'gholin Mongol,巴音郭楞蒙古自治州,100
B鰎tala Mongol,博尔塔拉蒙古自治州,90
Changji Hui,昌吉回族自治州,146
Hami,哈密地区,152
Ili Kazakh,伊犁哈萨克自治州,193
Karamay,克拉玛依,42
Kashgar,喀什地区,139
Khotan,和田地区,28
Kizilsu Kirghiz,克孜勒苏柯尔克孜自治州,90
Shihezi,石河子,137
Tacheng,塔城地区,80
Turfan,吐鲁番地区,124
躵黰qi,乌鲁木齐,48
