NAME_2,city,zhibiao
Chongqing,,127
Anshun,,106
Bijie,,28
Guiyang,,74
Liupanshui,,194
Qiandongnan Miao and Dong,,90
Qiannan Buyei and Miao,,150
Qianxinan Buyei and Miao,,54
Tongren,,66
Zunyi,,61
Bazhong,,48
Chengdu,,155
Dazhou,,189
Deyang,,80
Garz?Tibetan,,78
Guang'an,,35
Guangyuan,,92
Leshan,,28
Liangshan Yi,,90
Luzhou,,111
Meishan,,193
Mianyang,,30
Nanchong,,99
Neijiang]],,106
Neijiang,,42
Ngawa Tibetan and Qiang,,78
Panzhihua,,11
Suining,,54
Ya'an,,187
Yibin,,38
Zigong,,5
Ziyang,,169
Chamdo,,91
Lhasa,,39
Nagchu,,29
Ngari,,119
Nyingtri,,161
Shannan,,146
Shigatse,,152
Baoshan,,153
Chuxiong Yi,,64
Dali Bai,,28
Dehong Dai and Jingpo,,75
Dêqên Tibetan,,86
Honghe Hani and Yi,,20
Kunming,,110
Lijiang,,170
Lincang,,117
Nujiang Lisu,,133
Pu'er,,31
Qujing,,152
Wenshan Zhuang and Miao,,14
Xishuangbanna Dai,,194
Yuxi,,85
Zhaotong,,125
