"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,49,"CHN","China",1,"Anhui",1,"Anqing",1,"Anqing",NA,"","Xi¨¤nj¨ªsh¨¬","County City","",""
2,49,"CHN","China",1,"Anhui",1,"Anqing",2,"Huaining",NA,"","Xi¨¤n","County","<U+6000><U+5B81><U+53BF>","Hu¨¢in¨ªng"
3,49,"CHN","China",1,"Anhui",1,"Anqing",3,"Qianshan",NA,"","Xi¨¤n","County","<U+6F5C><U+5C71><U+53BF>","Qi¨¢nshan"
4,49,"CHN","China",1,"Anhui",1,"Anqing",4,"Susong",NA,"","Xi¨¤n","County","<U+5BBF><U+677E><U+53BF>","S¨´song"
5,49,"CHN","China",1,"Anhui",1,"Anqing",5,"Taihu",NA,"","Xi¨¤n","County","<U+592A><U+6E56><U+53BF>","T¨¤ih¨²"
6,49,"CHN","China",1,"Anhui",1,"Anqing",6,"Tongcheng",NA,"","Xi¨¤nj¨ªsh¨¬","County City","<U+6850><U+57CE><U+5E02>","T¨®ngch¨¦ng"
7,49,"CHN","China",1,"Anhui",1,"Anqing",7,"Wangjiang",NA,"","Xi¨¤n","County","<U+671B><U+6C5F><U+53BF>","W¨¤ngjiang"
8,49,"CHN","China",1,"Anhui",1,"Anqing",8,"Yuexi",NA,"","Xi¨¤n","County","<U+5CB3><U+897F><U+53BF>","Yu¨¨xi"
9,49,"CHN","China",1,"Anhui",1,"Anqing",9,"Zongyang",NA,"","Xi¨¤n","County","<U+679E><U+9633><U+53BF>","Zongy¨¢ng"
10,49,"CHN","China",1,"Anhui",2,"Bengbu",10,"Bengbu",NA,"","Xi¨¤nj¨ªsh¨¬","County City","",""
11,49,"CHN","China",1,"Anhui",2,"Bengbu",11,"Guzhen",NA,"","Xi¨¤n","County","<U+56FA><U+9547><U+53BF>","G¨´zh¨¨n"
12,49,"CHN","China",1,"Anhui",2,"Bengbu",12,"Huaiyuan",NA,"","Xi¨¤n","County","<U+6000><U+8FDC><U+53BF>","Hu¨¢iyuan"
13,49,"CHN","China",1,"Anhui",2,"Bengbu",13,"Wuhe",NA,"","Xi¨¤n","County","<U+4E94><U+6CB3><U+53BF>","Wuh¨¦"
14,49,"CHN","China",1,"Anhui",3,"Bozhou",14,"Boxian",NA,"","Xi¨¤n","County","",""
15,49,"CHN","China",1,"Anhui",3,"Bozhou",15,"Guoyang",NA,"","Xi¨¤n","County","",""
16,49,"CHN","China",1,"Anhui",3,"Bozhou",16,"Lixin",NA,"","Xi¨¤n","County","<U+5229><U+8F9B><U+53BF>","L¨¬xin"
17,49,"CHN","China",1,"Anhui",3,"Bozhou",17,"Mengcheng",NA,"","Xi¨¤n","County","<U+8499><U+57CE><U+53BF>","M¨¦ngch¨¦ng"
18,49,"CHN","China",1,"Anhui",4,"Chaohu",18,"Chao",NA,"","Xi¨¤n","County","",""
19,49,"CHN","China",1,"Anhui",4,"Chaohu",19,"Hanshan",NA,"","Xi¨¤n","County","<U+542B><U+5C71><U+53BF>","H¨¢nshan"
20,49,"CHN","China",1,"Anhui",4,"Chaohu",20,"He",NA,"","Xi¨¤n","County","<U+548C><U+53BF>","H¨¦"
21,49,"CHN","China",1,"Anhui",4,"Chaohu",21,"Lujiang",NA,"","Xi¨¤n","County","<U+5E90><U+6C5F><U+53BF>","L¨²jiang"
22,49,"CHN","China",1,"Anhui",4,"Chaohu",22,"Wuwei",NA,"","Xi¨¤n","County","<U+65E0><U+4E3A><U+53BF>","W¨²w¨¦i"
23,49,"CHN","China",1,"Anhui",5,"Chizhou",23,"Dongzhi",NA,"","Xi¨¤n","County","<U+4E1C><U+81F3><U+53BF>","Dongzh¨¬"
24,49,"CHN","China",1,"Anhui",5,"Chizhou",24,"Guichi",NA,"","Sh¨¬xi¨¢qu","District","<U+8D35><U+6C60><U+533A>","Gu¨¬ch¨ª"
25,49,"CHN","China",1,"Anhui",5,"Chizhou",25,"Qingyang",NA,"","Xi¨¤n","County","<U+9752><U+9633><U+53BF>","Qingy¨¢ng"
26,49,"CHN","China",1,"Anhui",5,"Chizhou",26,"Shitai",NA,"","Xi¨¤n","County","<U+77F3><U+53F0><U+53BF>","Sh¨ªt¨¢i"
27,49,"CHN","China",1,"Anhui",6,"Chuzhou",27,"Chuxian",NA,"","Xi¨¤n","County","",""
28,49,"CHN","China",1,"Anhui",6,"Chuzhou",28,"Dingyuan",NA,"","Xi¨¤n","County","<U+5B9A><U+8FDC><U+53BF>","D¨¬ngyuan"
29,49,"CHN","China",1,"Anhui",6,"Chuzhou",29,"Fengyang",NA,"","Xi¨¤n","County","<U+51E4><U+9633><U+53BF>","F¨¨ngy¨¢ng"
30,49,"CHN","China",1,"Anhui",6,"Chuzhou",30,"Jiashan",NA,"","Xi¨¤n","County","",""
31,49,"CHN","China",1,"Anhui",6,"Chuzhou",31,"Lai'an",NA,"","Xi¨¤n","County","<U+6765><U+5B89><U+53BF>","L¨¢i'an"
32,49,"CHN","China",1,"Anhui",6,"Chuzhou",32,"Quanjiao",NA,"","Xi¨¤n","County","<U+5168><U+6912><U+53BF>","Qu¨¢njiao"
33,49,"CHN","China",1,"Anhui",6,"Chuzhou",33,"Tianchang",NA,"","Xi¨¤nj¨ªsh¨¬","County City","<U+5929><U+957F><U+5E02>","Tianch¨¢ng"
34,49,"CHN","China",1,"Anhui",7,"Fuyang",34,"Funan",NA,"","Xi¨¤n","County","<U+961C><U+5357><U+53BF>","F¨´n¨¢n"
35,49,"CHN","China",1,"Anhui",7,"Fuyang",35,"Fuyang",NA,"","Xi¨¤nj¨ªsh¨¬","County City","<U+961C><U+9633><U+5E02>","F¨´y¨¢ng"
36,49,"CHN","China",1,"Anhui",7,"Fuyang",36,"Jieshou",NA,"","Xi¨¤nj¨ªsh¨¬","County City","<U+754C><U+9996><U+5E02>","Ji¨¨shou"
